index,Rank,RatingTomatometer,Title,No. of Reviews,url,Year
65,66,84,21 Jump Street,224,https://www.rottentomatoes.com/m/21_jump_street_2011,2012
66,67,86,The Raid: Redemption,167,https://www.rottentomatoes.com/m/the_raid_redemption,2012
67,68,91,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",47,https://www.rottentomatoes.com/m/electric_boogaloo_the_wild_untold_story_of_cannon_films,2012
68,69,86,The Perks of Being a Wallflower,166,https://www.rottentomatoes.com/m/the_perks_of_being_a_wallflower,2012
69,70,85,Chronicle,185,https://www.rottentomatoes.com/m/chronicle,2012
70,71,88,In Darkness,111,https://www.rottentomatoes.com/m/in_darkness_2011,2012
71,72,85,End of Watch,179,https://www.rottentomatoes.com/m/end_of_watch,2012
72,73,86,The Pirates! Band of Misfits,153,https://www.rottentomatoes.com/m/the_pirates_band_of_misfits,2012
73,74,83,Seven Psychopaths,218,https://www.rottentomatoes.com/m/seven_psychopaths,2012
74,75,86,Robot & Frank,139,https://www.rottentomatoes.com/m/robot_and_frank,2012
75,76,89,Keep the Lights On,66,https://www.rottentomatoes.com/m/keep_the_lights_on,2012
76,77,90,La fée (The Fairy),40,https://www.rottentomatoes.com/m/la_fee,2012
77,78,89,Neil Young Journeys,63,https://www.rottentomatoes.com/m/neil_young_journeys,2012
78,79,89,The Turin Horse,62,https://www.rottentomatoes.com/m/the_turin_horse,2012
79,80,85,Bully,141,https://www.rottentomatoes.com/m/bully_2012,2012
80,81,89,Starlet,44,https://www.rottentomatoes.com/m/starlet_2012,2012
81,82,87,Polisse,84,https://www.rottentomatoes.com/m/polisse_2011,2012
82,83,88,Tabu,58,https://www.rottentomatoes.com/m/tabu_2012,2012
83,84,87,Rundskop (Bullhead),75,https://www.rottentomatoes.com/m/rundskop_2012,2012
84,85,88,Middle of Nowhere,50,https://www.rottentomatoes.com/m/middle_of_nowhere,2012
85,86,87,Boy,71,https://www.rottentomatoes.com/m/boy_2012,2012
86,87,87,Chico & Rita,71,https://www.rottentomatoes.com/m/chico_and_rita,2012
87,88,87,Miss Bala,69,https://www.rottentomatoes.com/m/miss_bala_2011,2012
88,89,88,The Well-Digger's Daughter,40,https://www.rottentomatoes.com/m/the_well_diggers_daughter,2012
89,90,81,The Impossible,201,https://www.rottentomatoes.com/m/the_impossible_2012,2012
90,91,83,Your Sister's Sister,145,https://www.rottentomatoes.com/m/your_sisters_sister,2012
91,92,86,Snabba cash (Easy Money),69,https://www.rottentomatoes.com/m/snabba_cash_2012,2012
92,93,82,De rouille et d'os (Rust and Bone),164,https://www.rottentomatoes.com/m/de_rouille_et_dos_2012,2012
93,94,84,Sleepwalk With Me,115,https://www.rottentomatoes.com/m/sleepwalk_with_me_2012,2012
94,95,78,Brave,248,https://www.rottentomatoes.com/m/brave_2012,2012
95,96,80,Haywire,194,https://www.rottentomatoes.com/m/haywire_2011,2012
96,97,78,Flight,236,https://www.rottentomatoes.com/m/flight_2012,2012
97,98,79,Magic Mike,212,https://www.rottentomatoes.com/m/magic_mike,2012
98,99,86,The Big Picture,43,https://www.rottentomatoes.com/m/the_big_picture_2012,2012
99,100,86,Detropia,42,https://www.rottentomatoes.com/m/detropia_2012,2012
0,1,96,Gravity,354,https://www.rottentomatoes.com/m/gravity_2013,2013
1,2,95,12 Years a Slave,365,https://www.rottentomatoes.com/m/12_years_a_slave,2013
2,3,95,Her,278,https://www.rottentomatoes.com/m/her,2013
3,4,98,Before Midnight,203,https://www.rottentomatoes.com/m/before_midnight_2013,2013
4,5,98,Short Term 12,173,https://www.rottentomatoes.com/m/short_term_12_2013,2013
5,6,93,Captain Phillips,275,https://www.rottentomatoes.com/m/captain_phillips,2013
6,7,97,Mud,181,https://www.rottentomatoes.com/m/mud_2013,2013
7,8,92,American Hustle,289,https://www.rottentomatoes.com/m/american_hustle,2013
8,9,99,20 Feet From Stardom,127,https://www.rottentomatoes.com/m/20_feet_from_stardom,2013
9,10,92,Inside Llewyn Davis,283,https://www.rottentomatoes.com/m/inside_llewyn_davis_2013,2013
10,11,94,All Is Lost,236,https://www.rottentomatoes.com/m/all_is_lost_2013,2013
11,12,99,Wadjda,120,https://www.rottentomatoes.com/m/wadjda_2013,2013
12,13,93,Dallas Buyers Club,258,https://www.rottentomatoes.com/m/dallas_buyers_club_2013,2013
13,14,91,Zero Dark Thirty,298,https://www.rottentomatoes.com/m/zero_dark_thirty,2013
14,15,98,Blackfish,131,https://www.rottentomatoes.com/m/blackfish_2013,2013
15,16,95,Enough Said,191,https://www.rottentomatoes.com/m/enough_said_2013,2013
16,17,94,Fruitvale Station,212,https://www.rottentomatoes.com/m/fruitvale_station,2013
17,18,100,The Square (Al Midan),69,https://www.rottentomatoes.com/m/the_square_2013,2013
18,19,90,The Hunger Games: Catching Fire,290,https://www.rottentomatoes.com/m/the_hunger_games_catching_fire,2013
19,20,100,Sound City,46,https://www.rottentomatoes.com/m/sound_city,2013
20,21,99,56 Up,69,https://www.rottentomatoes.com/m/56_up,2013
21,22,100,More Than Honey,41,https://www.rottentomatoes.com/m/more_than_honey,2013
22,23,95,The Act Of Killing,156,https://www.rottentomatoes.com/m/the_act_of_killing,2013
23,24,91,Nebraska,248,https://www.rottentomatoes.com/m/nebraska,2013
24,25,98,The Selfish Giant,85,https://www.rottentomatoes.com/m/the_selfish_giant_2013,2013
25,26,91,Blue Jasmine,228,https://www.rottentomatoes.com/m/blue_jasmine,2013
26,27,96,A Hijacking,112,https://www.rottentomatoes.com/m/a_hijacking,2013
27,28,97,Muscle Shoals,87,https://www.rottentomatoes.com/m/muscle_shoals_2013,2013
28,29,90,Frozen,245,https://www.rottentomatoes.com/m/frozen_2013,2013
29,30,94,Stories We Tell,144,https://www.rottentomatoes.com/m/stories_we_tell,2013
30,31,98,Call Me Kuchu,51,https://www.rottentomatoes.com/m/call_me_kuchu_2011,2013
31,32,98,Let The Fire Burn,45,https://www.rottentomatoes.com/m/let_the_fire_burn_2013,2013
32,33,95,Blancanieves,112,https://www.rottentomatoes.com/m/blancanieves,2013
33,34,92,Frances Ha,180,https://www.rottentomatoes.com/m/frances_ha,2013
34,35,94,Room 237,131,https://www.rottentomatoes.com/m/room_237_2012,2013
35,36,93,Le passé (The Past),154,https://www.rottentomatoes.com/m/le_passe,2013
36,37,95,Behind the Candelabra,105,https://www.rottentomatoes.com/m/behind_the_candelabra,2013
37,38,89,The World's End,241,https://www.rottentomatoes.com/m/the_worlds_end,2013
38,39,94,Lore,115,https://www.rottentomatoes.com/m/lore,2013
39,40,94,The Gatekeepers,111,https://www.rottentomatoes.com/m/the_gatekeepers_2012,2013
40,41,93,The Hunt (Jagten),134,https://www.rottentomatoes.com/m/the_hunt_2013,2013
41,42,93,No,132,https://www.rottentomatoes.com/m/no_2012,2013
42,43,90,Philomena,198,https://www.rottentomatoes.com/m/philomena,2013
43,44,91,The Spectacular Now,169,https://www.rottentomatoes.com/m/the_spectacular_now,2013
44,45,96,I Am Divine,53,https://www.rottentomatoes.com/m/i_am_divine,2013
45,46,95,Cutie And The Boxer,74,https://www.rottentomatoes.com/m/cutie_and_the_boxer,2013
46,47,88,Rush,231,https://www.rottentomatoes.com/m/rush_2013,2013
47,48,96,The Crash Reel,46,https://www.rottentomatoes.com/m/the_crash_reel_2013,2013
48,49,94,A Touch of Sin,85,https://www.rottentomatoes.com/m/a_touch_of_sin,2013
49,50,92,In a World...,129,https://www.rottentomatoes.com/m/in_a_world_2013,2013
50,51,89,Blue Is The Warmest Color,193,https://www.rottentomatoes.com/m/blue_is_the_warmest_color,2013
51,52,94,Museum Hours,71,https://www.rottentomatoes.com/m/museum_hours,2013
52,53,91,The Sapphires,137,https://www.rottentomatoes.com/m/the_sapphires_2012,2013
53,54,91,The Great Beauty,133,https://www.rottentomatoes.com/m/the_great_beauty,2013
54,55,95,The History Of Future Folk,40,https://www.rottentomatoes.com/m/the_history_of_future_folk_2012,2013
55,56,94,War Witch,63,https://www.rottentomatoes.com/m/war_witch,2013
56,57,84,Star Trek Into Darkness,292,https://www.rottentomatoes.com/m/star_trek_into_darkness,2013
57,58,94,Drug War,54,https://www.rottentomatoes.com/m/drug_war_2013,2013
58,59,94,A Band Called Death,52,https://www.rottentomatoes.com/m/a_band_called_death_2013,2013
59,60,86,The Conjuring,223,https://www.rottentomatoes.com/m/the_conjuring,2013
60,61,92,We Steal Secrets: The Story Of Wikileaks,83,https://www.rottentomatoes.com/m/we_steal_secrets_the_story_of_wikileaks_2013,2013
61,62,91,Beyond The Hills,106,https://www.rottentomatoes.com/m/beyond_the_hills_2012,2013
62,63,93,Our Children,44,https://www.rottentomatoes.com/m/our_children_2012,2013
63,64,93,Mother Of George,43,https://www.rottentomatoes.com/m/mother_of_george_2013,2013
64,65,93,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,41,https://www.rottentomatoes.com/m/deceptive_practice_the_mysteries_and_mentors_of_ricky_jay,2013
65,66,92,Still Mine,64,https://www.rottentomatoes.com/m/still_mine,2013
66,67,92,After Tiller,62,https://www.rottentomatoes.com/m/after_tiller_2013,2013
67,68,92,Caesar Must Die,50,https://www.rottentomatoes.com/m/caesar_must_die_2012,2013
68,69,91,Gimme The Loot,69,https://www.rottentomatoes.com/m/gimme_the_loot_2012,2013
69,70,91,The Punk Singer,66,https://www.rottentomatoes.com/m/the_punk_singer_2013,2013
70,71,86,Much Ado About Nothing,175,https://www.rottentomatoes.com/m/much_ado_about_nothing_2012,2013
71,72,89,The Angels' Share,102,https://www.rottentomatoes.com/m/the_angels_share,2013
72,73,91,What Richard Did,47,https://www.rottentomatoes.com/m/what_richard_did,2013
73,74,79,Iron Man 3,324,https://www.rottentomatoes.com/m/iron_man_3,2013
74,75,91,Our Nixon,43,https://www.rottentomatoes.com/m/our_nixon,2013
75,76,83,This Is the End,226,https://www.rottentomatoes.com/m/this_is_the_end,2013
76,77,90,Inequality For All,62,https://www.rottentomatoes.com/m/inequality_for_all_2013,2013
77,78,90,A Place at the Table,61,https://www.rottentomatoes.com/m/a_place_at_the_table_2013,2013
78,79,86,Upstream Color,148,https://www.rottentomatoes.com/m/upstream_color,2013
79,80,80,The Wolf of Wall Street,284,https://www.rottentomatoes.com/m/the_wolf_of_wall_street_2013,2013
80,81,90,My Brother The Devil,51,https://www.rottentomatoes.com/m/my_brother_the_devil_2012,2013
81,82,89,Fill the Void,74,https://www.rottentomatoes.com/m/fill_the_void,2013
82,83,81,Prisoners,252,https://www.rottentomatoes.com/m/prisoners_2013,2013
83,84,84,The Way Way Back,182,https://www.rottentomatoes.com/m/the_way_way_back,2013
84,85,87,What Maisie Knew,112,https://www.rottentomatoes.com/m/what_maisie_knew_2012,2013
85,86,90,Sunshine on Leith,42,https://www.rottentomatoes.com/m/sunshine_on_leith,2013
86,87,90,Koch,42,https://www.rottentomatoes.com/m/koch_2012,2013
87,88,88,In the House,85,https://www.rottentomatoes.com/m/in_the_house_2013,2013
88,89,82,Side Effects,222,https://www.rottentomatoes.com/m/side_effects_2013,2013
89,90,88,Computer Chess,82,https://www.rottentomatoes.com/m/computer_chess_2013,2013
90,91,88,Hannah Arendt,72,https://www.rottentomatoes.com/m/hannah_arendt,2013
91,92,89,Yossi,45,https://www.rottentomatoes.com/m/yossi_2013,2013
92,93,89,Narco Cultura,44,https://www.rottentomatoes.com/m/narco_cultura_2013,2013
93,94,79,Saving Mr. Banks,261,https://www.rottentomatoes.com/m/saving_mr_banks_2013,2013
94,95,88,Happy People: A Year in the Taiga,49,https://www.rottentomatoes.com/m/happy_people_a_year_in_the_taiga,2013
95,96,81,Warm Bodies,208,https://www.rottentomatoes.com/m/warm_bodies,2013
96,97,86,We Are What We Are,91,https://www.rottentomatoes.com/m/we_are_what_we_are_2013,2013
97,98,88,The Silence,40,https://www.rottentomatoes.com/m/the_silence_2013,2013
98,99,86,From Up On Poppy Hill,86,https://www.rottentomatoes.com/m/from_up_on_poppy_hill,2013
99,100,87,The Attack,61,https://www.rottentomatoes.com/m/the_attack_2012,2013
0,1,99,Selma,308,https://www.rottentomatoes.com/m/selma,2014
1,2,97,Boyhood,321,https://www.rottentomatoes.com/m/boyhood,2014
2,3,98,The Babadook,239,https://www.rottentomatoes.com/m/the_babadook,2014
3,4,96,The LEGO Movie,251,https://www.rottentomatoes.com/m/the_lego_movie,2014
4,5,94,Whiplash,296,https://www.rottentomatoes.com/m/whiplash_2014,2014
5,6,95,Nightcrawler,271,https://www.rottentomatoes.com/m/nightcrawler,2014
6,7,98,Life Itself,200,https://www.rottentomatoes.com/m/life_itself,2014
7,8,91,Birdman,352,https://www.rottentomatoes.com/m/birdman_2014,2014
8,9,92,The Grand Budapest Hotel,307,https://www.rottentomatoes.com/m/the_grand_budapest_hotel,2014
9,10,97,Mr. Turner,193,https://www.rottentomatoes.com/m/mr_turner,2014
10,11,91,Guardians of the Galaxy,328,https://www.rottentomatoes.com/m/guardians_of_the_galaxy,2014
11,12,91,Live Die Repeat: Edge of Tomorrow,323,https://www.rottentomatoes.com/m/live_die_repeat_edge_of_tomorrow,2014
12,13,94,Snowpiercer,253,https://www.rottentomatoes.com/m/snowpiercer,2014
13,14,97,"Two Days, One Night",183,https://www.rottentomatoes.com/m/two_days_one_night,2014
14,15,99,Gloria,128,https://www.rottentomatoes.com/m/gloria_2012,2014
15,16,98,Leviathan,149,https://www.rottentomatoes.com/m/leviafan,2014
16,17,90,X-Men: Days of Future Past,327,https://www.rottentomatoes.com/m/x_men_days_of_future_past,2014
17,18,100,The Tale of the Princess Kaguya,94,https://www.rottentomatoes.com/m/the_tale_of_the_princess_kaguya,2014
18,19,99,Starred Up,115,https://www.rottentomatoes.com/m/starred_up,2014
19,20,90,Dawn Of The Planet Of The Apes,313,https://www.rottentomatoes.com/m/dawn_of_the_planet_of_the_apes,2014
20,21,90,Captain America: The Winter Soldier,302,https://www.rottentomatoes.com/m/captain_america_the_winter_soldier_2014,2014
21,22,99,Song Of The Sea,96,https://www.rottentomatoes.com/m/song_of_the_sea_2014,2014
22,23,96,Ida,163,https://www.rottentomatoes.com/m/ida_2013,2014
23,24,99,The Missing Picture,88,https://www.rottentomatoes.com/m/the_missing_picture,2014
